,committee,date,congress,page
1622,"Cmte of conference on bill ‘receipt of evidences of public debts,
etc",1806-04-08,9,7
1623,"Cmte on HR bill for erecting ‘cettain lighthouses in MA & beacon
or pier at Bridgeport, CT & fixing buoys in Pamptico sound, NC",1806-04-09,9,7
1624,cmte on memorial of John Chester and report of Sec of T,1806-04-10,9,7
1625,"Cmte on HR bill addition to Taw eanulating grants of land south
of TN",1806-04-10,9,7
1626,Cmte on HR bill to amend in,1806-04-10,9,7
1627,cmte on HR bill to est Indian raging houses,1806-04-10,9,7
1628,Cmte on HR bill making appropriations for navy,1806-04-14,9,7
1629,"emte on HR bill prescribing effect in each state of records of
judgments and decrees of courts, of, record in every other state",1806-04-14,9,8
1630,"mte on HR bills making appropriations for carrying into effect
certain Indian treaties & making appropriations for carrying into
effect treaty with Chickasaw",1806-04-14,9,8
1631,"cmte on HR bill further safeguard of vessels in vicinity of US &
Territories",1806-04-14,9,8
1632,"cmte on HR bill, r",1806-04-15,9,8
1633,"cmte to consider next mtg of Congress, have leave to report by
bill",1806-04-15,9,8
1634,"emte on HR bill for fortifying ports & harbors & building gun
boats",1806-04-17,9,8
1635,emte on petition of Ira Allen a bdbort of Sec of State,1806-04-17,9,8
1636,"cmte of conference on bill making provisions for witnesses at
Chase’s impeachment trial",1806-04-18,9,8
1637,"cmte on HR bill repealing aotiad on salt & continuing 1st section
of law to protect commerce & seamen against Barbary powers",1806-04-18,9,8
1638,cmte on PUS’s message of aria 18,1806-04-19,9,8
1639,"cmte on HR bill for naval peace, establishment",1806-04-21,9,8
1640,"emte of conference on bill repealing duties on salt & continuing
1st section of law to protect commerce & seamen against Barbary
powers",1806-04-21,9,8
1641,cmte of conference on bill ‘for cnayal peace establishment,1806-04-21,9,8
1642,emte to wait on PUS,1805-06-04,9,8
1643,cmte on treaty with Chickasaw ok oom Dec 13; 1805,1805-12-16,9,8
1645,"cmte on treaty at Fort Industry on July 4, 1805 with Wyandot,
N Ottawa, Chippewa, Munsee, Delaware; Shawanee, Potawatamies",1805-07-04,9,9
1646,"Cmte on treaty at Fort Industry on July 4, 1805 with Wyandot,

Nov Ottawa, Chippewa, Munsee, Delaware, Shawanee, Potawatamies on CT
land company & company possessing ",1805-12-16,9,9
1647,"cmte on treaty at Grouseland, IN territory, Aug 21, 1805 with
Delawares, Potawatamies, Miamis, Eel-rivers, weeas",1805-07-04,9,9
1648,"cmte on treaty at Tellico on Oct 25, 1805, with Cherokee",1805-12-16,9,9
1649,cmte of Dec 13,1805-08-21,9,9
1650,"cmte on treaty at Washington on Nov 14, 1805 with Creeks",1805-12-16,9,9
1651,"Cmte on treaty with Cherokees made Oct 27th with motion for
ratification",1805-10-25,9,9
1652,Cmte on memorial of Charles,1805-12-16,9,9
1653,"cmte on nominations of Peter; Walsh, etc made Dec 23",1805-11-14,9,9
1654,"cmte on nominations of Joseph, Bromley & Thomas Hewitt made Dec
27, Jan 2),  1806% a Scare nckedn, Tracy",1805-12-16,9,9
1655,"Cmte on message of PUS of aan lay, re e",1805-12-16,9,9
1656,"Cmte on treaty with Cherokees, & ‘notion for ratification",1805-12-23,9,9
1657,"cmte on nominations, military,, ",1805-12-27,9,9
1658,"Cmte appointed March 3 on nomination of John

Armstrong discharged",1806-01-16,9,9
1659,"cmte? March 15 approve nomination
by vote of 15 to 15, VP vote in affirmative",1806-01-30,9,9
1660,,1806-02-11,9,9
1661,,1806-02-25,9,9
1662,,1806-03-06,9,9
1663,Jt emte to wait on PUS,1807-10-26,10,1
1664,"Cmte on Adams's motion on part of PUS's message, r",1807-10-30,10,1
1665,"Cmte on Adams's motion on part of PUS's message, r",1807-10-30,10,1
1666,"\emte on Anderson's motion to consider expediency of authorizing TN to
reduce price of certain lands, with leave to report by bill or
otherwise",1807-11-04,10,1
1667,Cmte to audit & control contingent funds of Senate,1808-03-29,10,1
1668,cmte on engrossed bills,1807-11-04,10,1
1669,"Cmte on White's motion to inquire into expediency of extinguishing
claims of US on certain states, with leave to report by bill or
otherwise",1807-11-04,10,1
1670,cmte on enrolled bills,1807-11-05,10,1
1671,"emte on IN territory resolutions, r",1807-11-05,10,1
1672,cmte on HR bill making further appropriations for navy for 1807,1807-11-07,10,1
1673,"cmte on petition of William Levis and Hugh Maxwell, r",1807-11-12,10,1
1674,"Cmte on Mitchill's motion on part of PUS's message, r",1807-11-16,10,1
1675,"Cmte on Tiffin's motion to inquire whether any & what alterations
necessary to law establishing circuit courts & abridging district
courts in KY, TN, OH, with leave to report by bill or otherwise",1807-11-16,10,1
1676,,1807-11-18,10,1
1677,,1808-02-17,10,1
1678,cmte on Bradley's bill for corps of engineers,1809-01-16,10,10
1679,"Cmte on Smith(TN)'s bill to amend law establishing circuit courts &
N abridging jurisdiction of district courts in KY, TN, OH",1809-01-17,10,10
1680,Cmte on HR bill for relief of sick & disabled seamen,1809-01-17,10,10
1681,"emte of conference on bill authorizing appointment of navy officers,
seamen, and marines",1809-01-17,10,10
1682,Cmte on petition of William Hardy,1809-01-17,10,10
1683,Cmte on petitions of purchasers of OH lands,1809-01-19,10,10
1684,Cmte on petition of Baptist Church of Washington city,1809-01-20,10,10
1685,Cmte on HR bill for relief of Edmund Beaumont,1809-01-20,10,10
1686,"Cmte on,Jan 20, 1809",1809-01-20,10,10
1687,"emte on Bayard's motion to bring bill making provision for support of
judges as from age, sickness, infirmity shall be incapable of
discharging duties",1809-01-30,10,10
1688,"Cmte on Thruston's bill to repeal part of law as authorizes courts to
make compensation to their officers for unenumerated services",1809-01-30,10,10
1689,"cmte on petition of Robert Brent & others, r",1809-02-01,10,10
1690,"emte on Thruston's bill fixing allowance made to private physicians &
surgeons employed in public service",1809-02-02,10,10
1691,Jt cmte on mode of examining votes for PUS & VP,1809-02-03,10,10
1692,"Cmte on Anderson's bill for making turnpike from Mason's causeway to
Alexandria",1809-02-03,10,10
1693,"cmte

-—?7en HR bill making appropriations for 1809",1809-02-07,10,10
1694,,1809-02-11,10,10
1695,Cmte to bring bill to repeal embargo,1809-02-14,10,11
1696,Jt cmte on accommodations for PUS,1809-02-14,10,11
1697,Cmte on HR bill for relief of Daniel Cotton,1809-02-15,10,11
1698,cmte on HR bill for disposal of certain lands in MS territory,1809-02-15,10,11
1699,Cmte on HR bill extending suffrage to IN,1809-02-15,10,11
1700,"cmte on Giles's motion that provision ought to be made in law for
interdicting all foreign armed ships from waters of US",1809-02-15,10,11
1701,cmte on Gregg's bill to amend charter of Georgetown,1809-02-15,10,11
1702,"Cmte on Lloyd's motion to confer with surveyor of public buildings on
accommodation of Senate at next session",1809-02-17,10,11
1703,"Cmte on HR bill imposing additional duties upon goods, etc",1809-02-17,10,11
1704,\emte on petition of French citizens of MI,1809-02-18,10,11
1705,"Cmte on Giles's motion to inquire into expediency of amending act to
establish judicial courts, so that circuit & district courts are
governed by laws of states",1809-02-18,10,11
1706,\emte on Hr bill for relief of Alibama Indians,1809-02-21,10,11
1707,cmte to whom recommitted bill for William White,1809-02-23,10,11
1708,"cmte of 3, on motion by Mitchill, on arrangements for library",1809-02-27,10,11
1709,"Cmte on HR bill to amend acts for establishment & regulation of
treasury, war, & navy depts & making appropriations for support of
military & navy establishments for 1809",1809-02-27,10,11
1710,,1809-02-28,10,11
1711,"emte on HR bill for Amos Whittemore and William Whittemore, Jr",1809-02-28,10,12
1712,emte on HR bill for invalid pensioners,1809-03-01,10,12
1713,emte of arrangement for reception of PUS tomorrow on his inauguration,1809-03-03,10,12
1714,"Cmte of Conference on HR bill to amend acts for establishment &
regulation of treasury, war, & navy depts & making appropriations for
support of military & navy establishments for 1809",1809-03-03,10,12
1715,emte to wait on PUS,1809-03-03,10,12
1716,Cmte on nominations made Nov 14,1808-11-15,10,12
1717,cmte on nominations made Dec 8,1808-12-09,10,12
1718,emte on nominations made Jan 7 in paper C,1809-01-10,10,12
1719,emte on nominations made Jan 16,1809-01-17,10,12
1720,mte on nominations made Jan 23,1809-01-25,10,12
1721,Cmte on nomination of Henry Dearborn,1809-01-26,10,12
1722,cmte on nominations made Jan 25,1809-01-31,10,12
1723,emte on nominations made Feb 6,1809-02-07,10,12
1724,"cmte on PUS's message of March 1, nominations",1809-03-02,10,12
1725,"Cmte on HR bill allowing additional compensation to secretaries of MS,
IN, LA, MI territories",1807-11-24,10,2
1726,"Cmte on Pope's motion to inquire what additional force necessary to
military establishment",1807-11-25,10,2
1727,emte on petition of William Wells,1807-11-26,10,2
1728,"cmte on HR bill to incorporate trustees of Baptist church in
Washington",1807-11-26,10,2
1729,emte on John Smith(OH),1807-11-27,10,2
1730,Cmte on HR bill extending suffrage to MS territory,1807-12-03,10,2
1731,"Cmte on HR bill to change name of district of Biddeford and
Pepperelborough, MA to Saco",1807-12-03,10,2
1732,Cmte on HR bill for Potomac Bridge,1807-12-03,10,2
1733,"emte on petition of Boston merchant, repeal of non-importation",1807-12-14,10,2
1734,"cmte on Bradley's motion to inquire if any changes, etc",1807-12-15,10,2
1735,"Cmte on PUS's message of Dec 18, r",1807-12-28,10,2
1736,"Cmte on AG report on fees and compensation paid in all states but VA &
KY",1807-12-28,10,2
1737,emte on petition of Bartholomew Berry,1808-01-26,10,2
1738,emte on HR bill to extend certain privileges to Anthony Boucherie,1807-12-29,10,2
1739,cmte on bill supplement to law regulating grants of land in TN,1807-12-30,10,2
1740,emte on HR bill supplement to embargo bill,1808-01-05,10,2
1741,"Cmte on HR bill to revive & continue 1st section of law for protecting
commerce & seamen against Barbary powers",1808-01-08,10,3
1742,Cmte on HR bill to continue salaries for govt therein mentioned,1808-01-08,10,3
1743,Cmte on HR bill for relief of Oliver Evans,1808-01-13,10,3
1744,"emte on Hr bill to provide for certain expenses incurred during
impeachment trial of Samuel Chase",1808-01-13,10,3
1745,"\emte on motion to ppd further consideration of resolution for
expulsion of John Smith so Smith can present defense",1808-01-14,10,3
1746,"Cmte on Giles's motion on PUS's message of Oct 27 as relates to defect
in penal laws",1808-01-16,10,3
1747,emte on HR bill making appropriations for support of govt for 1808,1808-01-16,10,3
1748,"Cmte on Tiffin's motion made Nov 5 for amendment to Constitution, r",1808-01-20,10,3
1749,"Cmte on letter from James Taylor, requesting compensation in case of
John Smith",1808-01-25,10,3
1750,"cmte to whom recommit bill to incorporate trustees of Baptist church
in Washington",1808-01-25,10,3
1751,"emte on HR bill to erect lighthouse on point Judith, RI",1808-01-27,10,3
1752,Cmte on HR bill making appropriations for navy for 1808,1808-02-03,10,3
1753,emte on Latrobe's letter,1808-02-03,10,3
1754,,1808-02-03,10,3
1755,"Cmte on Anderson's motion to consider claims of sundry person of NC to
",1808-02-03,10,4
1756,"Cmte on PUS's message, r",1808-02-03,10,4
1757,emte on petition of Arthur St,1808-02-04,10,4
1758,emte on HR bill supplementary to non-importation bill,1808-02-08,10,4
1759,Cmte on petition of Philip Turner,1808-02-12,10,4
1760,Cmte on HR bill for extending right of suffrage to IN,1808-02-15,10,4
1761,"Cmte on HR bill making appropriations for carrying out Indian
treaties",1808-02-16,10,4
1762,emte on HR bill making additional compensation to marshals of NC & NJ,1808-02-16,10,4
1763,"\emte on HR bill making further provision for disposal of sections of
lands reserved for disposition of Congress",1808-02-16,10,4
1764,Cmte on HR bill to allow importation of old copper free of duty,1808-02-16,10,4
1765,Cmte on HR bill for relief of Edmund Weld & Samuel Beebee,1808-02-16,10,4
1766,"cmte on HR resolution to authorize the disposition of certain charts
of coast of NC",1808-02-16,10,4
1767,Cmte on HR bill for relief of Samuel Whiting,1808-02-16,10,4
1768,"emte on Giles's motion to inquire if further leg provision needed for
regulating manner of issuing & executing writ of habeas corpus",1808-02-17,10,4
1769,"cmte on KY leg instructions, r",1808-02-19,10,4
1770,Jt cmte on library,1808-02-24,10,4
1771,emte on PUS's message of Feb Gf) r000,1808-02-25,10,5
1772,"emte on HR bill making appropriations for military establishment for
1808",1808-02-26,10,5
1773,emte on HR bill for extending terms of credit on revenue bonds,1808-02-26,10,5
1774,"Cmte on HR bill remitting duties payable on importation of monument to
be erected in memory of officer of US navy who fell during attack on
Tripoli in 1804",1808-02-29,10,5
1775,emte on HR bill for procuring additional number of arms,1808-03-01,10,5
1776,"Cmte to examine papers sent to secretary, r",1808-03-01,10,5
1777,emte on HR bill supplement to embargo law,1808-03-02,10,5
1778,cmte on HR bill concerning public contracts,1808-03-04,10,5
1779,Cmte on HR bill further addition to act to amend judicial system,1808-03-04,10,5
1780,Cmte on HR bill authorizing sale of public arms,1808-03-10,10,5
1781,"Cmte on HR amendments to bill erecting lighthouse, etc",1808-03-11,10,5
1782,"emte on HR bill extending time for issuing & locating military
warrants",1808-03-11,10,5
1783,Cmte on HR bill authorizing detachment from militia,1808-03-11,10,5
1784,Cmte on HR bill concerning sale of lands of US,1808-03-11,10,5
1785,"Cmte on HR bill, r",1808-03-15,10,5
1786,"Cmte on Smith(MD)'s motion to consider PUS's message of March 7, r",1808-03-15,10,5
1787,cmte discharges on motion by Giles,1808-03-17,10,5
1788,emte on HR bill to prolong continuance of mint at Phila,1808-03-18,10,5
1790,"emte on PUS's message, r",1808-03-18,10,6
1791,emte on petition of Richard Sparkes,1808-03-21,10,6
1792,"Cmte on PUS's message, r",1808-03-25,10,6
1793,cmte on necessary business,1808-03-28,10,6
1794,"Cmte on correspondence between Monroe & Canning, Madison & Rose, r",1808-03-31,10,6
1795,"emte on Sec of T's report on roads & canals, made in accordance with
Senate resolution of March 2, 1807",1808-04-04,10,6
1796,"cmte on petition of Boston merchants, r",1807-03-02,10,6
1797,Cmte on HR bill to alter certain post roads,1808-04-06,10,6
1798,"Cmte instructed on motion from
Smith(MD) to get info on whether any and what appropriations necessary
to carry bill into effect",1808-04-07,10,6
1799,"Cmte on Adams's bill for relief of Joseph Summerl, Simon Philipson,
William Hamon, Archibald M'Call, Isaac Clason",1808-04-13,10,6
1800,emte on petition of Nathaniel Brashears,1808-04-13,10,6
1801,Cmte on HR bill for relief of Thomas Barclay,1808-04-14,10,6
1802,"emte on HR bill to continue in force law to extend jurisdiction in
certain cases to state judges & state courts",1808-04-19,10,6
1803,"Cmte on HR bill for relief of Matthew Smith, Darius Gates",1808-04-19,10,6
1804,Cmte on HR bill making provision for arming & equipping militia,1808-04-19,10,6
1805,"Cmte on White's resolutions to authorize PUS to have manned & equipped

for service frigates & other vessels of war",1808-04-20,10,6
1806,"emte on HR bill for invalid pensioners w/ report of Sec of War on
subject & resolutions of NC legislature",1808-04-21,10,7
1807,"emte on HR bill making appropriations for an additional military force
for 1808",1808-04-22,10,7
1808,"Cmte on HR bill making appropriations to supply deficiency for support
of govt & making appropriation to defray expenses to valuation of
houses & lands & enumeration of slaves",1808-04-22,10,7
1809,Cmte on HR amendments to bill addition to act laying embargo,1808-04-23,10,7
1810,emte to wait on PUS,1808-04-25,10,7
1811,"Cmte on nominations, Nov 9, 1807",1807-11-09,10,7
1812,emte on PUS's confidential message of Nov 11,1807-11-12,10,7
1813,cmte on nominations submitted Dec 2,1807-11-12,10,7
1814,emte on nominations,1807-12-04,10,7
1815,emte on treaty with Choctaw,1807-12-24,10,7
1816,Cmte on nominations of William Hull & others,1808-01-22,10,7
1817,Cmte on nominations of Robert Williams & others,1808-02-23,10,7
1818,"cmte on talk of Cherokee nation, re sale of tract of land to Col
Earl",1808-02-23,10,7
1819,cmte discharged,1808-02-15,10,7
1820,emte on treaty with Cherokees,1808-03-11,10,7
1821,cmte on nomination of Ryland Randolph,1808-04-22,10,7
1822,cmte to wait on PUS,1808-11-07,10,7
1823,"Cmte on Reed's motion to inquire into state & condition of Senate
chamber",1808-11-09,10,7
1824,"cmte on Smith(MD)'s motion to consider if amendments necessary to
militia law",1808-11-11,10,7
1825,"\emte on Giles's motion on parts of PUS's message, r",1808-11-11,10,8
1826,emte on IN territory's resolutions,1808-11-15,10,8
1827,"cmte on Bradley's motion on part of PUS's message, r",1808-11-16,10,8
1828,"emte on HR bill to authorize conveyance of certain papers & documents
by mail free of postage",1808-11-17,10,8
1829,Cmte on Thruston's bill for relief of Andrew Joseph Villard,1808-11-22,10,8
1830,"cmte on White's motion on Sec of T's report on roads & canals (April
4, 1808) & memorial of Chesapeake & Delaware canal company (9th
Congress) Nov 28, 1808",1808-11-22,10,8
1831,emte on 22nd rule [engrossed bills),1808-04-04,10,8
1832,"Cmte on memorial of Lemuel Taylor & others, r",1808-11-28,10,8
1833,"emte on PUS's message of Dec 1, r",1808-12-02,10,8
1834,"emte on memorials & petitions of surviving officers of NY & PA line
from revolutionary war (presented Dec 8 & 12)",1808-12-05,10,8
1835,"Cmte on motion by Lloyd as amended by Bradley to consider amount $
already spent on public buildings in WDC & how much more required to
finish PUS's house & square, and two wings of capitol",1808-12-05,10,8
1836,"cmte on HR bill authorizing PUS to employ additional # of revenue
cutters",1808-12-08,10,8
1837,,1808-12-12,10,8
1838,,1808-12-13,10,8
1839,,1808-12-13,10,8
1840,emte on petition of Eunice Hunt,1808-12-14,10,9
1841,emte on HR bill authorizing payment of certain pensions,1808-12-21,10,9
1842,"\emte on HR bill authorizing proprietors of squares & lots in
Washington to have same subdivided & admitted to record",1808-12-21,10,9
1843,emte on HR bill for relief of William White & others,1808-12-22,10,9
1844,emte on petition of William Brown,1808-12-23,10,9
1845,cmte report,1808-12-28,10,9
1846,cmte on petition of Marine Insurance Company of Alexandria,1808-12-29,10,9
1847,"cmte on HR bill to continue enforce ist section of act to protect
commerce & seamen against Barbary powers",1808-12-29,10,9
1848,"\emte on Hr bill authorizing appointment of additional navy officers,
seamen, & marines",1808-12-30,10,9
1849,"Cmte on PUS's message, r",1808-12-30,10,9
1850,"Cmte on HR amendments to bill supplement to act for extending terms of
credit on revenue bonds",1808-12-30,10,9
1851,"Cmte to whom recommitted, on Lloyd's motion, bill making
appropriations for completion of 2 wings of capitol",1808-12-30,10,9
1852,"cmte on Mitchill's motion to inquire about provisions for relief of
sick & disabled seamen",1808-12-30,10,9
1853,cmte on petition of Richard Bland Lee,1809-01-03,10,9
1854,cmte discharged,1809-01-06,10,9
1855,"emte on PUS's message, r",1809-01-06,10,9
1856,"cmte -> Lloyd, Gilman",1809-01-10,10,9
1859,emte to wait on PUS,1809-05-22,11,1
1860,"emte on Giles's motion on part of PUS's message, re revision of
commercial laws, with leave to report by bill or otherwise",1809-05-25,11,1
1861,"cmte on Giles's motion on part of PUS's message, re defense of
ports & harbors, with leave to report by bill or otherwise",1809-05-25,11,1
1862,"cmte on Giles's motion to inquire into laws governing army &
navy, with leave to report by bill or otherwise",1809-05-25,11,1
1863,emte on Pope's bill for relief of William White & others,1809-05-29,11,1
1864,"Cmte on petition of John Mason & others, WDC levey court taxes",1809-05-29,11,1
1865,Jt Cmte on enrolled bills,1809-05-29,11,1
1866,emte on 22nd rule,1809-05-29,11,1
1867,Jt cmte on necessary business,1809-05-29,11,1
1868,Cmte on petition of Edward Livingston,1809-05-30,11,1
1869,"cmte on Pope's motion to consider if expedient at this time to
pass law for taking census",1809-05-31,11,1
1870,"cmte to whom recommitted bill to interdict intercourse b/w US &
GB and france",1809-05-31,11,1
1871,"Cmte on Malbone's bill for extending benefit of drawback on
duties upon exportation on all goods, etc, transported by land
to & from Newport & Boston",1809-06-02,11,1
1872,,1809-06-05,11,1
1873,,1809-06-06,11,1
1874,"emte on Giles's motion of April 6, r",1810-04-09,11,10
1875,"cmte to whom recommitted bill for preservation of peace,
maintenance of authority of US in ports, harbors, & waters",1810-04-10,11,10
1876,cmte on petition of Elisha Winters,1810-04-10,11,10
1877,Cmte on HR bill for invalid pensioners,1810-04-11,11,10
1878,"Cmte on HR bill for relief of John Minor, administrator of Reuben
Minor",1810-04-11,11,10
1879,"cmte on Bradley's bill making further provision for corps of
engineers",1810-04-12,11,10
1880,"Cmte on HR bill for providing better accommodation of general
post office & patent office",1810-04-13,11,10
1881,"Cmte on Lloyd's bill to erect lighthouse at scituate harbor, etc",1810-04-13,11,10
1882,"cmte to whom recommitted bill for establishment of turnpike
company in Alexandria",1810-04-13,11,10
1883,Cmte to whom recommitted bill for quarter master's office,1810-04-14,11,10
1884,Cmte on HR bill to alter times of holding circuit court in MD,1810-04-15,11,10
1885,"Cmte on HR bill, r",1810-04-16,11,10
1886,Cmte on HR bill for relief of William W,1810-04-16,11,10
1887,"Cmte on HR bill for relief of Margaret Lapsley, Grove Pomeroy,
Arthur St",1810-04-16,11,10
1888,Cmte of conference on PO bill,1810-04-17,11,10
1890,emte on petition of William Harding Sr,1810-04-17,11,11
1891,"Cmte on HR bill providing for sale of certain lands in IN
territory",1810-04-17,11,11
1892,emte on German's bill for relief of Isaac Clason,1810-04-19,11,11
1893,"emte on HR bill concerning commercial intercourse between US and
GB & France",1810-04-21,11,11
1894,"Cmte to whom recommitted bill to authorize people of Orleans
territory to form constitution & state govt",1810-04-21,11,11
1895,cmte on HR bill appropriating $ for procuring munitions of war,1810-04-26,11,11
1896,"Cmte on HR bill confirming decisions of commissioners in favor of
the claimants of land in Kaskaskia district",1810-04-27,11,11
1897,Cmte on Clay's bill for,1810-04-28,11,11
1898,"cmte to whom recommitted bill for relief of Margaret Lapsley &
others",1810-04-28,11,11
1899,cmte—of—conference—on—bill for 3rda-census,1810-05-01,11,11
1900,Jt cmte to wait on PUS,1810-05-01,11,11
1901,cmte on nomination of Alexander Frazer,1809-12-13,11,11
1902,cmte on nominations made Dec 18 & not yet agreed to,1809-12-21,11,11
1903,"emte on treaty & convention between WHH & Indian tribes --
Delaware, Potawattamies, Eel-river, Miamies, tribes nw of OH &
Weca",1809-12-27,11,11
1904,Cmte on nominations of Amos Spafford & others,1809-12-28,11,11
1905,\emte on treaty between US and great & little Osage Indians,1810-01-12,11,12
1906,"cmte on nomination of Richard Forrest & sundry letters of
recommendations presented by Smith(MD)",1810-02-23,11,12
1907,Cmte on nominations iate April 5 & not already confirmed,1810-03-12,11,12
1908,Cmte on nominations made April 17 & not already confirmed,1810-04-09,11,12
1909,Jt cmte to wait on PUS,1810-04-18,11,12
1910,Cmte on petition of Larkin Smith,1810-12-04,11,12
1911,Cmte on Smith(MD)'s bill for regulation of foreign coins,1810-12-04,11,12
1912,"Cmte on so much of PUS's message, r",1810-12-07,11,12
1913,"Cmte on so much of PUS's message, r",1810-12-07,11,12
1914,Cmte on petition from Farmers' Bank of Alexandria,1811-02-18,11,12
1915,"Cmte on Giles's motion on so much of PUS's message, r",1810-12-07,11,12
1916,"Cmte on Campbell's motion on so much of PUS's message, r-e",1810-12-07,11,12
1917,"Cmte on petition of Bank of Potomac with leave to report by bill

or otherwise",1810-12-10,11,12
1918,,1811-02-08,11,12
1919,,1810-12-10,11,12
1920,,1810-12-10,11,12
1921,Cmte on 22nd rule,1810-12-10,11,13
1922,Cmte on 42nd rule,1810-12-10,11,13
1923,Jt cmte on enrolled bills,1810-12-10,11,13
1924,"Cmte on Leib's motion on so much of PUS's message on militia with
leave to report by bill or otherwise",1811-03-03,11,13
1925,"Cmte on PUS's message of Dec 12, r",1810-12-11,11,13
1926,"Cmte on Leib's motion to consider expediency of directing Sec of
T to deposit in banks other than BUS bonds given to govt for
duties",1811-02-28,11,13
1927,"Cmte on memorial of city council of Washington with leave to
report by bill or otherwise",1810-12-12,11,13
1928,Cmte on petition of William Davy & Son & others,1810-12-14,11,13
1929,"Cmte on petition of BUS, renewal of charter",1810-12-14,11,13
1930,"Cmte on Dana's motion to inquire into expediency of authorizing
surveys & examinations to be made respecting lakes or waters
along northern frontier with leave to report by bill or
otherwise",1810-12-18,11,13
1931,Cmte on petition of Union Bank of Georgetown,1810-12-18,11,13
1932,"cmte
on petition of Bank of Potomac",1811-01-08,11,13
1933,Cmte on HR bill to fix compensation of additional assistant ping,1810-12-20,11,13
1934,,1810-12-21,11,13
1935,,1810-12-21,11,13
1936,Cmte on HR bill for relief of George Armroyd & company,1810-12-24,11,14
1937,Cmte on petition of Thomas Corcoran & others,1811-01-09,11,14
1938,Cmte on petition of David Porter,1810-12-27,11,14
1939,Cmte on petition of Bank of Alexandria,1810-12-27,11,14
1940,cmte on Leib's bill for establishment of quartermaster's dept,1810-12-28,11,14
1941,"Cmte on Pope's bill authorizing subscription on part of US to
stock of OH canal Company",1810-12-31,11,14
1942,"Cmte on HR bill for final adjustment of claims to lands, & for
sale of public lands in territories of Orleans & LA",1811-01-03,11,14
1943,"Cmte on HR bill to authorize Sec of War to settle by appointment
of commissioners exterior line of public land at West Point",1811-01-03,11,14
1944,"Cmte on petition of John Bioren, W",1811-01-03,11,14
1945,"Cmte on Horsey's bill authorizing sale & grant of land to
Chesapeake & DE Canal Company",1811-01-04,11,14
1946,Jt cmte on Library,1811-01-04,11,14
1947,"Cmte on Campbell's bill for surveying certain roads in OH as
contemplated by treaty of Brownstown in MI",1811-01-07,11,14
1948,"Cmte on HR bill to move land office from Nashville to Canton, OH",1811-01-07,11,14
1949,"Cmte on HR amendments to bill to suspend 2nd section of act
regulating foreign coins",1811-01-07,11,14
1950,Cmte on petition of Isaac Wayne,1811-01-07,11,14
1951,Cmte on petition of Nathaniel F,1811-01-08,11,14
1952,,1811-01-08,11,14
1953,Cmte on Dana's bill for benefit of US seamen,1811-01-11,11,15
1954,"Cmte to whom recommitted bill making provisions for corps of
engineers",1811-01-12,11,15
1955,Cmte on Worthington's motion on public lands,1811-01-14,11,15
1956,"Cmte on letter from Sec of T, r",1811-01-14,11,15
1957,cmte on petition of Eugene de Leitensdorfer,1814-01-15,11,15
1958,"Cmte on HR bill authorizing people of Orleans territory to form a
constitution and state govt",1811-01-18,11,15
1959,Cmte on petition of Moses Austin & John R,1811-01-21,11,15
1960,Cmte on petition of William Mills,1811-01-21,11,15
1961,"Cmte on Taylor's motion to consider expediency of authorizing
transfer of stock, standing credit to any state, pursuant to
report of commissioners for settling accounts between US &
states",1811-01-21,11,15
1962,Cmte on petition of B,1811-01-22,11,15
1963,"Cmte on Anderson's motion to consider expediency of giving aid to
building bridge across Susquehanna at Havre de Grace MD",1811-01-24,11,15
1964,Cmte on petition of Thomas Campbell,1811-01-25,11,15
1965,"Cmte on Crawford's motion to consider expediency of making
further provisions for punishment of crimes committed in
territories possessed by Indians with leave to report by bill or
otherwise",1811-01-25,11,15
1966,Cmte on HR bill making appropriations for 1811,1811-01-29,11,15
1967,Cmte on HR bill making appropriations for navy,1811-01-29,11,15
1968,Cmte on HR bill making appropriations for military establishment,1811-01-29,11,16
1969,"Cmte on memorial of MS territorial leg, r",1811-01-29,11,16
1970,"Cmte on PUS's message of Jan 30, r",1811-01-31,11,16
1971,Cmte on HR bill for Bank of Alexandria,1811-02-01,11,16
1972,"Cmte on Worthington's motion to consider necessary alterations to
law for Cumberland Road",1811-02-04,11,16
1973,"Cmte on Bradley's motion to consider necessary alterations to
compensation for public ministers & consuls residing on Barbary
Coast",1811-02-04,11,16
1974,"Cmte on petition of Phila clergy, r",1811-02-04,11,16
1975,"Cmte on petition of Moses Byxbe & memorial of western missionary
society with leave to report by bill or otherwise",1811-02-04,11,16
1976,"Cmte on HR bill for incorporating Protestant Episcopal Church of
Alexandria",1811-02-04,11,16
1977,"Cmte to whom recommitted bill making provisions for corps of
engineers",1811-02-05,11,16
1978,"Cmte on petition of Charlotte Hazan with leave to report by bill
or otherwise",1811-02-06,11,16
1979,"Cmte on petition of James Wilkinson with leave to report by bill
or otherwise",1811-02-06,11,16
1980,"Cmte on HR bill for relief of Richard Tervin, William Coleman,
Edwin Lewis, Samuel Mims, Joseph Wilson & Baptist Church in
Salem, MS",1811-02-07,11,16
1981,Cmte on HR bill for sale of tract of land in TN & IN territory,1811-02-07,11,16
1982,"Cmte on Bradley's motion to consider expediency of establishing
additional collection district on northern boundaries of US with
leave to report by bill or otherwise",1811-02-08,11,16
1983,"Cmte on petition of Philip Hammond, r",1811-02-08,11,17
1984,"Cmte on Giles's bill, r",1811-02-11,11,17
